time,depth,latitude,longitude,so,thetao,vo,zos,uo
2026-01-29 23:00:00,0.494025,57.0,7.833344,33.243713,3.8110106,-0.22897293,-0.6520883,-0.26351202
2026-01-29 23:00:00,0.494025,57.0,7.9166775,33.16902,3.7745917,-0.24257408,-0.6691234,-0.27652013
2026-01-29 23:00:00,0.494025,57.0,8.0000105,33.073452,3.7669086,-0.29842266,-0.6852118,-0.27646327
2026-01-29 23:00:00,0.494025,57.0,8.0833435,33.088093,3.7435386,-0.27371827,-0.7022755,-0.25332755
2026-01-29 23:00:00,0.494025,57.0,8.166677,33.05473,3.7400408,-0.30532262,-0.7195349,-0.24035215
2026-01-29 23:00:00,0.494025,57.0,8.2500105,32.868446,2.7891796,-0.28663102,-0.7368447,-0.16631696
2026-01-29 23:00:00,0.494025,57.0,8.3333435,32.768784,1.9347441,-0.15895015,-0.74929535,-0.17120434
2026-01-29 23:00:00,0.494025,57.0,8.416677,32.839127,2.0713742,-0.09368509,-0.754647,-0.19065233
2026-01-29 23:00:00,0.494025,57.0,8.5000105,32.74732,1.7457238,-0.09630221,-0.75504375,-0.18972774
2026-01-29 23:00:00,0.494025,57.0,8.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,8.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,8.7500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,8.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,8.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.0000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.2500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.333344,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.5000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.7500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,9.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,10.0000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,10.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,10.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,10.2500105,22.136482,-1.1786245,0.029350724,-0.30955285,0.0067412416
2026-01-29 23:00:00,0.494025,57.0,10.333344,21.926079,-1.00568,0.031792354,-0.3102037,0.00508985
2026-01-29 23:00:00,0.494025,57.0,10.416677,21.78613,-0.5226156,-0.022298496,-0.31399757,-0.021279678
2026-01-29 23:00:00,0.494025,57.0,10.5000105,21.850298,0.028989403,-0.052707884,-0.32072815,-0.038492206
2026-01-29 23:00:00,0.494025,57.0,10.583344,22.013605,0.4146573,-0.047498584,-0.32864332,-0.049118873
2026-01-29 23:00:00,0.494025,57.0,10.666677,22.144367,0.5512212,-0.032310084,-0.3353698,-0.05721154
